Countries,PopUtot,PopU18,PopU5,AnnPopGrow2000to2020,AnnPopGrow2020to2030,AnnBirths,TotFert,LifeExp1970,LifeExp2000,LifeExp2021,TotDepRatio,ChildDepRatio,OldAgeDepRatio,ShareUrbanPop,AnnGrowRate2000to2020,AnnGrowRate2020to2030,NetMigRate
Afghanistan,40099,20298,6491,3.3,2.3,1441,4.6,37,55,62,85,80,4,26,4.1,3.5,-4.6
Albania,2855,574,141,-0.5,-0.2,29,1.4,65,75,76,48,24,24,63,1.4,0.8,-3.7
Algeria,44178,15526,4871,1.6,1.2,951,2.9,43,70,76,58,49,10,74,2.6,1.8,-0.4
Andorra,79,034,13,3,0.8,0.4,1,1.1,74,81,80,38,18,20,88,0.5,0.4,17.6
Angola,34504,17833,5983,3.4,2.7,1339,5.3,40,46,62,91,87,5,67,4.8,3.4,0.8
Anguilla,16,3,1,1.6,0.3,0,1.3,65,76,77,39,24,14,100,1.6,0.3,7.1
Antigua and Barbuda,93,21,5,1.0,0.5,1,1.6,70,75,78,41,27,14,24,-0.3,0.6,0.0
Argentina,45277,12669,3333,0.9,0.5,629,1.9,66,74,75,54,36,18,92,1.1,0.6,0.1
Armenia,2791,669,183,-0.6,-0.2,34,1.6,64,71,72,50,31,19,63,-0.7,0.2,-4.6
Australia,25921,5667,1537,1.4,0.9,298,1.6,71,80,85,54,28,25,86,1.5,1.0,4.6
Austria,8922,1542,431,0.5,0.1,85,1.5,70,78,82,51,22,29,59,0.4,0.6,2.3
Azerbaijan,10313,2896,705,1.1,0.4,127,1.7,59,65,69,44,34,10,57,1.5,1.0,0.1
Bahamas,408,100,23,1.1,0.5,5,1.4,66,72,72,39,27,12,83,1.1,0.7,1.2
Bahrain,1463,348,98,3.5,0.6,18,1.8,64,75,79,31,27,5,90,3.5,0.7,-6.2
Bangladesh,169356,54801,14663,1.2,0.9,3020,2.0,43,66,72,48,39,9,39,3.5,2.5,-1.0
Barbados,281,59,15,0.3,0.1,3,1.6,68,74,78,49,26,23,31,-0.1,0.5,-0.1
Belarus,9578,1901,474,-0.3,-0.4,89,1.5,71,69,72,51,25,25,80,0.3,0.0,1.4
Belgium,11611,2329,599,0.6,0.2,116,1.6,71,78,82,57,26,30,98,0.6,0.3,4.5
Belize,400,136,37,2.4,1.2,7,2.0,63,69,70,50,42,7,46,2.4,1.7,1.4
Benin,12997,6376,2137,2.8,2.4,476,5.0,42,57,60,84,78,6,49,3.9,3.4,0.1
Bhutan,777,220,51,1.3,0.6,10,1.4,40,62,72,41,32,9,43,3.7,1.8,0.4
Bolivia (Plurinational State of),12079,4470,1272,1.6,1.2,264,2.6,47,62,64,56,49,8,70,2.2,1.7,-0.4
Bosnia and Herzegovina,3271,588,154,-1.1,-0.6,28,1.3,67,74,75,49,22,27,49,-0.4,0.2,-7.9
Botswana,2588,1000,297,1.8,1.4,61,2.8,55,51,61,57,52,6,72,3.2,2.1,0.7
Brazil,214326,53465,14241,0.9,0.4,2761,1.6,57,70,73,43,29,14,87,1.2,0.7,0.1
British Virgin Islands,31,6,1,2.0,0.6,0,1.0,67,74,74,33,20,13,49,2.8,1.4,4.1
Brunei Darussalam,445,119,32,1.3,0.6,6,1.8,64,74,75,39,31,8,79,1.8,1.0,-0.4
Bulgaria,6886,1156,306,-0.7,-0.9,58,1.6,71,72,72,57,22,35,76,-0.3,-0.6,-1.3
Burkina Faso,22101,11244,3568,2.8,2.2,786,4.8,39,51,59,87,83,5,31,5.4,4.0,-0.6
Burundi,12551,6655,2054,3.1,2.3,438,5.1,43,48,62,95,90,5,14,5.6,4.6,-1.1
Cabo Verde,588,188,50,1.1,0.8,10,1.9,54,69,74,47,39,8,67,2.2,1.4,-2.2
Cambodia,16589,5756,1613,1.4,0.9,321,2.3,39,59,70,53,45,8,25,2.7,2.5,-1.5
Cameroon,27199,13339,4346,2.7,2.3,951,4.5,48,53,60,82,77,5,58,3.8,3.1,-0.4
Canada,38155,7215,1901,1.0,0.7,374,1.5,73,79,83,52,24,28,82,1.1,0.9,5.1
Central African Republic,5457,3045,985,1.7,2.6,235,6.0,45,45,54,103,98,5,43,2.2,3.7,-15.6
Chad,17180,9343,3218,3.3,2.7,745,6.3,41,47,53,99,95,4,24,3.7,4.0,0.5
Chile,19493,4313,1151,1.1,0.3,229,1.5,62,77,79,45,27,18,88,1.2,0.4,5.9
China,1425893,300092,74790,0.6,-0.1,10882,1.2,57,72,78,45,26,19,63,3.1,1.2,-0.1
Colombia,51517,13536,3670,1.2,0.6,730,1.7,62,71,73,44,31,13,82,1.7,0.9,4.1
Comoros,822,363,114,1.9,1.6,24,4.0,45,59,63,74,67,7,30,2.2,2.5,-2.2
Congo,5836,2786,847,2.9,2.0,179,4.2,54,54,64,79,74,5,68,3.5,2.6,-0.8
Cook Islands,17,5,1,0.3,0.1,0,2.2,64,70,75,54,36,17,76,1.0,0.4,-9.4
Costa Rica,5154,1278,329,1.2,0.5,61,1.5,65,78,77,45,30,15,81,2.7,1.1,0.4
Côte d'Ivoire,27478,13379,4202,2.2,2.2,933,4.4,44,51,59,79,75,4,52,3.1,3.1,-0.8
Croatia,4060,691,180,-0.5,-0.6,35,1.5,69,75,78,57,22,34,58,-0.1,0.0,-2.6
Cuba,11256,2142,553,0.1,-0.2,100,1.4,68,76,74,46,23,23,77,0.2,-0.1,-0.6
Cyprus,1244,236,67,1.3,0.5,13,1.3,69,77,81,44,23,21,67,1.1,0.7,1.6
Czechia,10511,1983,551,0.1,0.0,104,1.7,69,75,78,57,25,32,74,0.1,0.2,0.3
Democratic People's Republic of Korea,25972,5940,1700,0.5,0.2,344,1.8,61,61,73,43,27,16,63,0.7,0.7,-0.1
Democratic Republic of the Congo,95894,50791,17698,3.1,2.9,4035,6.2,43,52,59,98,92,6,46,4.3,4.0,-0.7
Denmark,5854,1152,310,0.4,0.4,63,1.7,73,77,81,57,25,32,88,0.6,0.6,3.9
Djibouti,1106,409,116,1.8,1.2,25,2.8,48,57,62,54,48,7,78,1.9,1.4,0.7
Dominica,72,18,5,0.2,0.4,1,1.6,65,73,73,41,28,13,71,0.7,0.8,0.8
Dominican Republic,11118,3626,1015,1.2,0.8,205,2.3,56,69,73,53,42,11,83,2.6,1.3,-1.3
Ecuador,17798,5584,1492,1.6,0.9,299,2.0,57,73,74,51,39,12,64,1.9,1.3,2.0
Egypt,109262,41988,12368,1.9,1.4,2465,2.9,50,68,70,61,53,8,43,1.9,1.8,-0.3
El Salvador,6314,1967,508,0.3,0.4,101,1.8,51,70,71,51,39,12,74,1.3,1.1,-4.3
Equatorial Guinea,1634,722,230,4.0,2.0,50,4.3,30,53,61,72,67,5,74,5.9,2.5,4.0
Eritrea,3620,1712,486,1.9,1.7,104,3.9,41,56,67,78,71,7,42,4.0,3.0,-4.1
Estonia,1329,260,71,-0.2,-0.3,14,1.7,70,71,77,58,26,32,69,-0.2,0.0,2.3
Eswatini,1192,493,140,0.6,0.9,29,2.8,51,47,57,64,57,7,24,0.9,1.8,-4.1
Ethiopia,120283,56315,17798,2.7,2.2,3896,4.2,43,51,65,76,70,6,22,4.5,4.1,0.0
Fiji,925,316,90,0.5,0.6,18,2.5,62,66,67,53,44,9,58,1.3,1.3,-6.5
Finland,5536,1036,244,0.3,0.1,47,1.4,70,78,82,62,25,37,86,0.5,0.2,2.7
France,64531,13568,3408,0.5,0.1,677,1.8,72,79,82,63,28,35,81,0.8,0.4,0.3
Gabon,2341,985,307,2.8,1.7,64,3.5,53,61,66,68,61,7,90,3.4,2.0,0.6
Gambia,2640,1331,412,2.8,2.2,88,4.7,40,57,62,85,80,5,63,4.1,3.0,-0.7
Georgia,3758,920,261,-0.6,-0.3,50,2.1,64,70,72,55,33,23,60,0.0,0.4,-0.7
Germany,83409,13836,3971,0.1,-0.1,763,1.5,71,78,81,56,22,35,78,0.3,0.1,3.8
Ghana,32833,14291,4306,2.3,1.7,905,3.6,48,58,64,69,63,6,58,3.6,2.6,-0.3
Greece,10445,1794,433,-0.2,-0.4,79,1.4,73,78,80,58,22,35,80,0.2,-0.1,-1.4
Grenada,125,35,10,0.7,0.5,2,2.0,66,73,75,51,36,15,37,0.8,1.0,-0.7
Guatemala,17608,6930,1927,1.9,1.3,372,2.4,49,67,69,61,53,8,52,2.5,2.1,-1.7
Guinea,13532,6562,2097,2.2,2.1,466,4.4,39,52,59,82,76,6,37,3.0,3.1,-0.3
Guinea-Bissau,2061,975,295,2.3,1.9,64,4.0,38,50,60,77,72,5,45,3.3,2.7,-0.7
Guyana,805,275,79,0.2,0.6,16,2.4,60,64,66,54,44,9,27,-0.1,1.1,-5.4
Haiti,11448,4397,1277,1.4,1.1,269,2.8,47,58,63,58,51,7,58,3.7,2.2,-2.9
Holy See,1,-,-,-1.1,0.7,0,1.0,71,79,82,-,-,-,-,-,-,0.0
Honduras,10278,3784,1056,2.0,1.3,217,2.4,54,69,70,53,47,6,59,3.2,2.2,-0.6
Hungary,9710,1707,468,-0.2,-0.1,92,1.6,69,72,75,54,22,31,72,0.3,0.3,2.0
Iceland,370,83,22,1.3,0.6,5,1.7,74,80,83,50,28,22,94,1.3,0.6,1.7
India,1407564,438164,115307,1.3,0.7,23114,2.0,48,63,67,48,38,10,35,2.4,2.0,-0.2
Indonesia,273753,83188,22414,1.1,0.7,4496,2.2,53,66,68,48,38,10,57,2.6,1.6,-0.1
Iran (Islamic Republic of),87923,24425,6896,1.4,0.6,1204,1.7,50,70,74,45,35,11,76,2.2,1.1,0.3
Iraq,43534,19352,5691,2.6,2.0,1192,3.5,60,67,70,71,65,6,71,2.8,2.3,-1.4
Ireland,4987,1189,305,1.3,0.6,59,1.8,71,77,82,53,31,23,64,1.6,1.0,3.1
Israel,8900,2930,890,1.7,1.3,174,3.0,71,79,82,67,47,20,93,1.8,1.4,1.9
Italy,59240,9203,2161,0.2,-0.3,410,1.3,72,80,83,57,20,37,71,0.5,0.1,0.5
Jamaica,2828,712,169,0.4,-0.1,33,1.4,67,71,71,38,28,10,57,0.8,0.6,-2.0
Japan,124613,17962,4286,-0.1,-0.5,819,1.3,72,81,85,71,20,51,92,0.7,-0.4,0.7
Jordan,11148,4289,1195,3.7,0.8,245,2.8,60,72,74,57,51,6,92,4.4,1.0,1.3
Kazakhstan,19196,6498,2009,1.0,1.0,413,3.1,61,64,69,60,47,13,58,1.2,1.3,-1.0
Kenya,53006,24050,6913,2.5,1.8,1468,3.3,54,54,61,70,65,5,28,4.1,3.4,-1.0
Kiribati,129,53,17,1.7,1.5,4,3.3,55,64,67,66,60,6,56,2.9,2.5,-2.3
Kuwait,4250,1043,259,3.9,0.4,44,2.1,67,77,79,34,28,6,100,3.9,0.4,-8.6
Kyrgyzstan,6528,2574,805,1.3,1.3,158,3.0,58,65,70,64,56,7,37,1.5,2.3,-2.5
Lao People's Democratic Republic,7425,2739,790,1.4,1.2,163,2.5,44,58,68,55,48,7,37,3.8,2.7,-1.4
Latvia,1874,348,93,-1.1,-1.0,17,1.6,70,70,74,59,25,34,68,-1.1,-0.8,-3.6
Lebanon,5593,1847,445,1.3,-1.7,84,2.1,67,74,75,59,44,15,89,1.4,-1.5,-20.4
Lesotho,2281,916,275,0.6,0.9,60,3.0,51,48,53,62,55,7,29,2.5,2.4,-0.7
Liberia,5193,2492,745,2.7,1.9,163,4.1,41,51,61,80,74,6,53,3.5,2.8,-2.3
Libya,6735,2332,614,1.2,1.0,120,2.5,55,71,72,51,44,7,81,1.5,1.3,-0.1
Liechtenstein,39,7,2,0.8,0.5,0,1.5,65,77,83,50,22,28,14,0.5,1.2,5.9
Lithuania,2787,499,140,-1.2,-0.9,27,1.6,71,72,74,56,24,32,68,-1.1,-0.5,-4.2
Luxembourg,639,122,33,1.8,0.9,7,1.4,70,78,83,44,23,21,92,2.2,1.1,10.9
Madagascar,28916,13292,4151,2.6,2.1,895,3.9,48,58,64,75,69,6,39,4.3,3.6,0.0
Malawi,19890,10052,3034,2.6,2.3,654,3.9,37,45,63,85,80,5,18,3.4,3.9,-0.1
Malaysia,33574,9311,2572,1.8,0.9,511,1.8,63,73,75,43,33,10,78,2.8,1.4,1.4
Maldives,521,132,38,2.9,0.0,7,1.7,45,71,80,36,29,6,41,4.7,0.9,2.3
Mali,21905,11904,4004,3.0,2.7,913,6.0,33,51,59,99,94,5,45,5.1,4.1,-1.0
Malta,527,82,24,1.2,0.5,5,1.2,69,78,84,47,19,28,95,1.3,0.5,20.0
Marshall Islands,42,16,4,-1.1,0.3,1,2.7,59,63,65,60,53,7,78,-0.5,0.6,-44.2
Mauritania,4615,2252,695,2.4,2.4,153,4.4,51,61,64,83,77,6,56,4.2,3.5,-0.3
Mauritius,1299,272,66,0.3,0.1,13,1.4,61,72,74,41,23,17,41,0.1,0.3,-0.4
Mexico,126705,38144,9893,1.2,0.6,1882,1.8,61,74,70,49,37,12,81,1.6,0.9,-0.4
Micronesia (Federated States of),113,42,11,0.0,0.8,2,2.7,61,70,71,58,48,9,23,0.1,1.6,-5.6
Monaco,37,6,2,0.6,-0.3,0,2.1,73,82,86,95,25,70,100,0.6,-0.3,5.6
Mongolia,3348,1220,380,1.4,1.1,72,2.8,53,63,71,58,51,7,69,2.3,1.4,0.0
Montenegro,628,136,37,0.0,-0.1,7,1.7,69,74,76,53,28,25,68,0.6,0.3,-0.2
Montserrat,4,1,0,-0.6,-0.4,0,1.6,64,75,76,44,19,25,9,6.4,0.3,-9.0
Morocco,37077,11779,3285,1.2,0.8,651,2.3,49,67,74,52,41,11,64,2.0,1.5,-1.2
Mozambique,32077,16168,5260,2.7,2.5,1174,4.6,42,49,59,86,81,5,38,3.8,3.8,-0.3
Myanmar,53798,16125,4491,0.8,0.6,920,2.2,51,60,66,46,36,10,31,1.4,1.6,-0.7
Namibia,2530,1060,333,1.5,1.4,69,3.3,54,52,59,67,61,7,53,3.8,2.8,-1.7
Nauru,13,6,2,0.8,0.7,0,3.5,60,59,64,70,66,4,100,0.8,0.7,-5.3
Nepal,30035,10742,2952,0.8,1.1,610,2.0,43,63,68,55,46,9,21,2.9,3.0,9.9
Netherlands,17502,3309,866,0.4,0.3,180,1.6,74,78,82,55,24,31,93,1.3,0.5,3.3
New Zealand,5130,1159,310,1.3,0.7,64,1.8,71,79,82,53,29,24,87,1.3,0.9,7.5
Nicaragua,6851,2451,698,1.3,1.2,141,2.3,55,67,74,54,46,8,59,1.6,1.7,-1.5
Niger,25253,14056,4972,3.5,3.4,1144,6.8,36,49,62,105,100,5,17,3.6,4.4,-0.2
Nigeria,213401,106611,34831,2.5,2.1,7923,5.2,40,47,53,86,81,6,53,4.4,3.3,-0.4
Niue,2,1,0,-0.3,0.0,0,2.4,64,67,71,70,45,25,47,1.3,1.2,-2.0
North Macedonia,2103,408,105,0.2,-0.2,20,1.4,64,73,74,45,23,21,59,0.2,0.5,-0.2
Norway,5403,1108,280,0.9,0.6,54,1.5,74,79,83,54,26,28,83,1.3,0.9,2.0
Oman,4520,1369,443,3.2,1.0,83,2.6,48,73,73,42,38,4,87,4.0,1.6,-4.6
Pakistan,231402,100538,29604,1.8,1.7,6375,3.5,55,62,66,70,63,7,37,2.4,2.5,-2.0
Palau,18,5,1,-0.4,0.0,0,2.4,56,66,66,44,30,14,81,0.2,0.4,0.2
Panama,4351,1366,385,1.7,1.1,77,2.3,65,74,76,54,41,13,69,2.2,1.6,1.3
Papua New Guinea,9949,4057,1207,2.7,1.6,254,3.2,52,62,65,60,55,5,13,2.8,2.8,1.1
Paraguay,6704,2305,682,1.2,1.0,138,2.5,63,70,70,54,45,10,62,1.8,1.5,-1.2
Peru,33715,10639,2917,1.1,0.9,594,2.2,47,70,72,53,40,13,79,1.4,1.1,2.0
Philippines,113880,41441,11923,1.7,1.3,2485,2.7,62,69,69,56,48,8,48,1.9,2.0,-0.7
Poland,38308,6982,1908,0.0,0.1,363,1.5,70,74,76,52,23,29,60,-0.1,0.3,-0.1
Portugal,10290,1690,433,0.0,-0.2,80,1.4,67,77,81,56,21,35,67,0.9,0.5,2.7
Qatar,2688,475,145,6.9,0.3,27,1.8,67,75,79,21,19,2,99,7.1,0.3,-11.4
Republic of Korea,51830,7517,1651,0.5,-0.1,289,0.9,62,76,84,40,17,23,81,0.6,0.0,0.8
Republic of Moldova,3062,709,202,-1.5,0.3,38,1.8,64,66,69,50,30,20,43,-1.7,0.8,-4.7
Romania,19329,3722,1029,-0.6,-0.2,195,1.7,68,71,74,54,25,29,54,-0.5,0.2,-0.7
Russian Federation,145103,30178,7890,0.0,-0.3,1397,1.5,68,65,69,50,27,23,75,0.1,0.0,2.2
Rwanda,13462,6162,1889,2.3,2.0,404,3.8,47,47,66,73,67,5,18,3.0,3.1,-0.5
Saint Kitts and Nevis,48,11,3,0.2,0.1,1,1.5,61,70,72,42,28,14,31,-0.1,0.6,-1.9
Saint Lucia,180,40,10,0.6,0.2,2,1.4,64,71,71,38,25,13,19,-1.3,0.9,0.0
Saint Vincent and the Grenadines,104,27,7,-0.4,0.0,1,1.8,69,71,70,49,33,16,53,0.4,0.7,-3.6
Samoa,219,96,29,0.7,1.3,6,3.9,60,71,73,75,66,9,18,-0.2,1.0,-4.0
San Marino,34,5,1,1.1,-0.1,0,1.1,74,80,81,50,20,30,98,1.3,-0.1,1.2
Sao Tome and Principe,223,105,30,2.0,1.7,6,3.8,57,62,68,78,71,7,75,3.6,2.4,-3.5
Saudi Arabia,35950,11026,3187,2.4,1.1,629,2.4,53,72,77,40,37,4,85,2.7,1.3,-4.3
Senegal,16877,8168,2571,2.5,2.3,550,4.4,41,57,67,82,76,6,49,3.4,3.2,-0.6
Serbia,7297,1253,345,-0.4,-0.7,68,1.5,66,71,74,54,22,32,57,0.0,-0.2,0.0
Seychelles,106,29,9,1.3,0.5,2,2.3,58,70,71,45,34,11,58,1.9,1.1,1.4
Sierra Leone,8421,3880,1188,2.8,1.9,264,4.0,39,45,60,74,69,5,43,3.7,2.8,-0.2
Singapore,5941,860,246,1.8,0.5,42,1.0,69,79,83,35,16,19,100,1.8,0.5,3.3
Slovakia,5448,1026,289,0.1,0.2,54,1.6,70,73,75,49,24,26,54,-0.1,0.5,0.3
Slovenia,2119,380,101,0.3,-0.1,19,1.6,68,76,81,55,24,32,55,0.7,0.5,2.2
Solomon Islands,708,323,101,2.3,1.9,21,4.0,56,67,70,75,69,6,25,4.4,3.5,-1.1
Somalia,17066,9212,3200,3.0,2.7,744,6.3,46,51,55,99,94,5,47,4.6,3.8,-1.0
South Africa,59392,19961,5813,1.1,0.9,1177,2.4,56,58,62,53,44,9,68,1.9,1.5,0.2
South Sudan,10748,5621,1486,2.6,1.5,313,4.5,26,46,55,91,85,5,21,3.6,3.2,-3.0
Spain,47487,8198,1897,0.7,-0.1,358,1.3,72,79,83,52,21,30,81,1.0,0.2,5.8
Sri Lanka,21773,6120,1562,0.7,0.2,306,2.0,65,70,76,52,35,17,19,0.8,1.3,-4.2
State of Palestine,5133,2339,712,2.2,2.0,145,3.5,55,70,73,74,68,6,77,2.5,2.4,-2.4
Sudan,45657,21570,7084,2.5,2.3,1534,4.5,46,58,65,80,74,6,36,2.9,3.3,-0.3
Suriname,613,195,54,1.1,0.8,11,2.3,60,66,70,51,40,11,66,1.1,1.0,-0.8
Sweden,10467,2215,595,0.7,0.5,113,1.7,75,80,83,61,28,32,88,1.0,0.8,7.7
Switzerland,8691,1560,436,0.9,0.5,87,1.5,73,80,84,52,23,29,74,0.9,0.7,2.8
Syrian Arab Republic,21324,8679,1892,1.2,3.3,427,2.7,61,71,72,60,53,7,56,1.5,4.3,10.0
Tajikistan,9750,4093,1269,2.0,1.6,261,3.2,57,63,72,66,60,6,28,2.2,2.7,-0.4
Thailand,71601,13764,3379,0.6,0.1,644,1.3,58,72,79,43,23,21,52,2.9,1.2,0.0
Timor-Leste,1321,562,157,1.9,1.3,33,3.1,37,59,68,68,59,9,32,3.1,2.3,-1.5
Togo,8645,4035,1270,2.5,2.0,275,4.3,46,55,62,77,71,5,43,3.7,3.2,-0.1
Tokelau,2,1,0,0.4,1.0,0,2.7,62,72,75,60,47,13,0,-,-,0.0
Tonga,106,44,12,0.1,0.7,2,3.2,63,69,71,69,59,10,23,0.1,1.0,-8.9
Trinidad and Tobago,1526,353,92,0.6,0.2,18,1.6,65,69,73,44,28,16,53,0.4,0.4,1.7
Tunisia,12263,3574,1035,1.0,0.7,197,2.1,54,74,74,51,38,13,70,1.4,1.1,-0.7
Türkiye,84775,23673,6610,1.3,0.5,1245,1.9,57,72,76,47,34,12,77,2.1,1.0,-0.8
Turkmenistan,6342,2282,688,1.5,1.1,137,2.7,58,65,69,57,49,8,53,2.1,2.0,-0.7
Turks and Caicos Islands,45,9,3,4.1,0.8,1,1.7,56,74,75,37,23,14,94,4.6,1.0,15.2
Tuvalu,11,4,1,0.7,0.7,0,3.2,55,63,65,61,51,10,65,2.2,1.5,-1.3
Uganda,45854,24092,7690,2.9,2.5,1687,4.6,50,48,63,88,85,3,26,5.4,4.5,0.9
Ukraine,43531,7898,1798,-0.5,-1.2,336,1.3,69,68,72,48,23,26,70,-0.3,-1.0,0.0
United Arab Emirates,9365,1599,482,5.0,0.7,97,1.5,60,74,79,20,18,2,87,5.4,0.9,-0.3
United Kingdom,67281,14169,3652,0.6,0.3,677,1.6,72,78,81,58,28,30,84,0.9,0.5,3.0
United Republic of Tanzania,63588,32079,10537,2.8,2.6,2303,4.7,46,52,66,88,82,6,36,4.9,4.3,-0.1
United States,336998,74735,19164,0.8,0.4,3723,1.7,71,77,77,54,28,26,83,1.0,0.7,1.7
Uruguay,3426,811,195,0.2,0.0,36,1.5,69,75,75,54,30,24,96,0.4,0.1,-0.4
Uzbekistan,34081,11809,3847,1.4,1.2,803,2.9,61,66,71,54,46,8,50,1.8,1.5,-1.2
Vanuatu,319,145,45,2.3,2.1,9,3.7,55,69,70,76,70,7,26,3.1,2.7,-0.6
Venezuela (Bolivarian Republic of),28200,9560,2396,0.7,1.1,452,2.2,64,72,71,58,44,13,88,0.8,1.1,-18.5
Viet Nam,97468,26183,7368,1.0,0.6,1463,1.9,56,72,74,46,33,13,38,3.0,2.1,0.0
Yemen,32982,15348,4714,2.6,1.9,1009,3.8,41,63,64,74,69,5,39,4.4,3.4,-3.1
Zambia,19473,9768,3073,3.1,2.4,672,4.3,51,45,61,82,79,3,45,4.3,3.5,0.5
Zimbabwe,15994,7622,2300,1.3,1.8,489,3.5,57,45,59,79,73,6,32,1.1,2.4,-1.6